announcement_date,effective_date,stock_name,action,symbol
2014-02-28,2014-03-28,Ranbaxy Laboratories Ltd.,Exclusion,
2014-02-28,2014-03-28,Tech Mahindra Ltd.,Inclusion,
2014-08-29,2014-09-19,Zee Entertainment Enterprises Ltd.,Inclusion,ZEEL
2014-08-29,2014-09-19,United Spirits Ltd.,Exclusion,
2015-02-20,2015-03-27,DLF Ltd.,Exclusion,DLF
2015-02-20,2015-03-27,Yes Bank Ltd.,Inclusion,YESBANK
2015-02-20,2015-03-27,Idea Cellular Ltd.,Inclusion,IDEA
2015-02-20,2015-03-27,Jindal Steel & Power Ltd.,Exclusion,JINDALSTEL
2015-05-29,2015-05-29,IDFC Ltd,Exclusion,
2015-05-29,2015-05-29,Bosch Ltd.,Inclusion,BOSCHLTD
2015-08-12,2015-09-28,Adani Ports and Special Economic Zone Ltd.,Inclusion,ADANIPORTS
2015-08-12,2015-09-28,NMDC Ltd.,Exclusion,NMDC
2016-02-26,2016-04-01,Tata Motors Ltd DVR,Inclusion,TATAMTRDVR
2016-02-26,2016-04-01,Bharti Infratel Ltd.,Inclusion,INFRATEL
2016-02-26,2016-04-01,Aurobindo Pharma Ltd.,Inclusion,AUROPHARMA
2016-02-26,2016-04-01,Eicher Motors Ltd.,Inclusion,EICHERMOT
2016-02-26,2016-04-01,Punjab National Bank,Exclusion,PNB
2016-02-26,2016-04-01,Cairn India Ltd.,Exclusion,CAIRN
2016-02-26,2016-04-01,Vedanta Ltd.,Exclusion,VEDL
2017-02-16,2017-03-31,Indiabulls Housing Finance Ltd.,Inclusion,IBULHSGFIN
2017-02-16,2017-03-31,Indian Oil Corporation Ltd.,Inclusion,IOC
2017-02-16,2017-03-31,Bharat Heavy Electricals Ltd.,Exclusion,BHEL
2017-02-16,2017-03-31,Idea Cellular Ltd.,Exclusion,IDEA
2017-05-26,2017-05-26,Grasim Industries Ltd.,Exclusion,GRASIM
2017-05-26,2017-05-26,Vedanta Ltd.,Inclusion,VEDL
2017-08-29,2017-09-29,Bajaj Finance Ltd.,Inclusion,BAJFINANCE
2017-08-29,2017-09-29,UPL Ltd.,Inclusion,UPL
2017-08-29,2017-09-29,Hindustan Petroleum Corporation Ltd.,Inclusion,HINDPETRO
2017-08-29,2017-09-29,Tata Power Co. Ltd.,Exclusion,TATAPOWER
2017-08-29,2017-09-29,Tata Motors Ltd DVR,Exclusion,TATAMTRDVR
2017-08-29,2017-09-29,Bank of Baroda,Exclusion,BANKBARODA
2017-08-29,2017-09-29,ACC Ltd.,Exclusion,ACC
2018-02-23,2018-04-02,Grasim Industries Ltd.,Inclusion,GRASIM
2018-02-23,2018-04-02,Titan Company Ltd.,Inclusion,TITAN
2018-02-23,2018-04-02,Bajaj Finserv Ltd.,Inclusion,BAJAJFINSV
2018-02-23,2018-04-02,Ambuja Cements Ltd.,Exclusion,AMBUJACEM
2018-02-23,2018-04-02,Aurobindo Pharma Ltd.,Exclusion,AUROPHARMA
2018-02-23,2018-04-02,Bosch Ltd.,Exclusion,BOSCHLTD
2018-08-31,2018-09-28,JSW Steel Ltd.,Inclusion,
2018-08-31,2018-09-28,Lupin Ltd.,Exclusion,
2019-08-28,2019-09-27,Indiabulls Housing Finance Ltd.,Exclusion,IBULHSGFIN
2019-08-28,2019-09-27,Nestle India Ltd.,Inclusion,NESTLEIND
2020-02-18,2020-03-27,Yes Bank Ltd.,Exclusion,YESBANK
2020-02-18,2020-03-27,Shree Cement Ltd.,Inclusion,SHREECEM
2020-08-20,2020-09-25,Divi's Laboratories Ltd.,Inclusion,DIVISLAB
2020-08-20,2020-09-25,SBI Life Insurance Company Ltd.,Inclusion,SBILIFE
2020-08-20,2020-09-25,Bharti Infratel Ltd.,Exclusion,INFRATEL
2020-08-20,2020-09-25,Zee Entertainment Enterprises Ltd.,Exclusion,ZEEL
2021-02-23,2021-03-26,Tata Consumer Products Ltd.,Inclusion,TATACONSUM
2021-02-23,2021-03-26,GAIL (India) Ltd.,Exclusion,GAIL
