Date,Close,Volume,Return
2017-10-03,694.6608276367188,35367877,
2017-10-04,690.8319091796875,3613280,-0.005511925107476556
2017-10-05,681.8976440429688,2680742,-0.012932617932092216
2017-10-06,684.0575561523438,1416485,0.003167501938515116
2017-10-09,685.923095703125,951473,0.002727167522678098
2017-10-10,687.2483520507812,555002,0.0019320771613584586
2017-10-11,677.3323364257812,1077409,-0.014428576795288306
2017-10-12,675.1724243164062,439314,-0.003188851311562435
2017-10-13,677.1360473632812,1344510,0.0029083282672024424
2017-10-16,657.89306640625,971834,-0.028418190158332357
2017-10-17,660.789306640625,664335,0.004402296333955613
2017-10-18,656.2240600585938,415712,-0.006908777935951238
2017-10-19,662.8019409179688,93358,0.010023833717385688
2017-10-23,653.6714477539062,292330,-0.013775598109168063
2017-10-24,653.7203979492188,350373,7.48850136880197e-05
2017-10-25,657.69677734375,583868,0.006082691326453116
2017-10-26,654.7022094726562,242175,-0.00455311318870677
2017-10-27,650.1370239257812,396395,-0.006972919108600761
2017-10-30,643.068115234375,1164020,-0.0108729520566625
2017-10-31,650.0386962890625,1402840,0.010839568763484575
2017-11-01,635.2628784179688,859011,-0.022730674274386797
2017-11-02,631.0413208007812,574130,-0.006645371169334946
2017-11-03,630.5504150390625,672547,-0.0007779296625073373
2017-11-06,644.7861938476562,483071,0.02257674956523803
2017-11-07,630.6485595703125,763293,-0.021926080943172388
2017-11-08,620.0942993164062,843603,-0.016735565464697677
2017-11-09,645.96435546875,356798,0.041719551656680176
2017-11-10,664.2255859375,784443,0.028269718466893634
2017-11-13,652.885986328125,192279,-0.017071910280857527
2017-11-14,647.97705078125,350594,-0.007518825108321248
2017-11-15,637.52099609375,269314,-0.016136458343537607
2017-11-16,638.0610961914062,261879,0.0008471879372844437
2017-11-17,647.5352172851562,3200674,0.01484829767917395
2017-11-20,649.4005737304688,712433,0.0028807026946475744
2017-11-21,674.9269409179688,2077453,0.03930758336239881
2017-11-22,680.5231323242188,669175,0.008291551376862438
2017-11-23,654.1622314453125,827451,-0.038736230448000786
2017-11-24,643.7554321289062,599114,-0.01590859089099861
2017-11-27,641.7918701171875,239417,-0.0030501676781587994
2017-11-28,641.54638671875,269211,-0.00038249689637337436
2017-11-29,644.2462158203125,258606,0.004208314718084694
2017-11-30,642.969970703125,316178,-0.0019809896990430342
2017-12-01,643.9517822265625,86648,0.001526994367036849
2017-12-04,649.6951904296875,162592,0.00891900350561392
2017-12-05,647.0933837890625,125688,-0.0040046573823399045
2017-12-06,644.1480712890625,210799,-0.004551603483802791
2017-12-07,656.2240600585938,279051,0.018747224912689653
2017-12-08,673.2088012695312,480717,0.02588253348927938
2017-12-11,662.4583129882812,122163,-0.0159690251538257
2017-12-12,663.7346801757812,121938,0.0019267132172324786
2017-12-13,663.04736328125,260250,-0.001035529579905714
2017-12-14,667.5145874023438,444539,0.006737413295766048
2017-12-15,676.4486694335938,351667,0.013384100062917348
