Date,Close,Volume,Return
2013-01-01,393.495849609375,692672,
2013-01-02,402.5604248046875,1082815,0.0230360122077804
2013-01-03,403.7690734863281,984021,0.003002403135447418
2013-01-04,400.4685974121094,829178,-0.008174167589708903
2013-01-07,401.02642822265625,1531894,0.0013929452000773779
2013-01-08,403.25775146484375,2077309,0.005564030410855292
2013-01-09,404.0014343261719,3191463,0.0018441873928689567
2013-01-10,410.18402099609375,1898534,0.01530337801952042
2013-01-11,400.7475280761719,845876,-0.023005510787588057
2013-01-14,409.2077941894531,1276400,0.021111212223555276
2013-01-15,410.8348083496094,1160466,0.003976009702794103
2013-01-16,399.7713623046875,1249626,-0.026929183749949348
2013-01-17,396.6567687988281,678827,-0.007790937019359512
2013-01-18,390.4278259277344,940541,-0.015703609168088772
2013-01-21,384.05938720703125,1714760,-0.01631143657747869
2013-01-22,388.3360595703125,2866392,0.011135445469468097
2013-01-23,394.7974853515625,838754,0.016638747862867787
2013-01-24,400.28271484375,1969798,0.013893780218237728
2013-01-25,401.1658630371094,608814,0.0022063110911598738
2013-01-28,402.0955810546875,723886,0.002317540207782187
2013-01-29,400.422119140625,1148562,-0.004161851044652276
2013-01-30,404.2804260253906,625954,0.00963559878521747
2013-01-31,405.16357421875,629457,0.0021844940702222537
2013-02-01,407.48785400390625,856437,0.005736645476183355
2013-02-04,404.5592956542969,610536,-0.007186860469174383
2013-02-05,403.53656005859375,1173336,-0.0025280239675349314
2013-02-06,399.3065185546875,694532,-0.010482424450691807
2013-02-07,400.654541015625,1016207,0.0033759089779368257
2013-02-08,394.9369201660156,1551033,-0.01427070022747201
2013-02-11,398.4231872558594,909242,0.008827402331436307
2013-02-12,407.90618896484375,667446,0.023801329873139654
2013-02-13,409.6726379394531,1269537,0.004330527514407434
2013-02-14,410.2769470214844,1262820,0.001475102377036297
2013-02-15,408.9288635253906,420871,-0.0032857890405018075
2013-02-18,408.9753112792969,434170,0.000113583945886786
2013-02-19,411.5785217285156,447005,0.006365201950884858
2013-02-20,408.4640197753906,397050,-0.007567212059669592
2013-02-21,398.0049133300781,543547,-0.02560594309154529
2013-02-22,398.09783935546875,561286,0.00023347959353858805
2013-02-25,396.238525390625,618203,-0.004670494991517726
2013-02-26,392.566162109375,526337,-0.009268062154303758
2013-02-27,396.4244079589844,843374,0.009828269020635494
2013-02-28,383.0367736816406,1256944,-0.03377096366560983
2013-03-01,372.7635498046875,1388906,-0.026820463680836237
2013-03-04,372.80999755859375,1628881,0.0001246037975832781
2013-03-05,381.7815856933594,1487746,0.024064773459718136
2013-03-06,385.8722839355469,1186780,0.010714760469021423
2013-03-07,390.520751953125,1099167,0.012046649140404542
2013-03-08,405.48895263671875,2199395,0.03832882275457261
2013-03-11,406.3257141113281,989106,0.0020635863669484777
2013-03-12,401.2588806152344,891608,-0.012469881477167655
2013-03-13,393.3564147949219,843879,-0.019694182987790687
2013-03-14,400.8404541015625,914696,0.019026102092532193
2013-03-15,391.7294006347656,1358550,-0.022729875125050092
2013-03-18,385.9652404785156,1096138,-0.014714647782141599
2013-03-19,380.48004150390625,2217352,-0.014211639804167064
2013-03-20,375.2737121582031,1220686,-0.013683580681720708
2013-03-21,377.87689208984375,1488526,0.006936750023522009
2013-03-22,372.2057189941406,2051945,-0.015007991264929577
2013-03-25,364.4891662597656,2013156,-0.020731956390214634
2013-03-26,371.554931640625,1527414,0.01938539203610712
2013-03-28,376.2498779296875,2930431,0.012635941254585559
2013-04-01,386.47662353515625,1441489,0.02718072803569105
2013-04-02,395.2623291015625,1371437,0.022732825302710813
2013-04-03,390.98565673828125,1288595,-0.010819832927165596
2013-04-04,376.6682434082031,2162736,-0.03661876870245895
2013-04-05,372.6705322265625,1357287,-0.010613348089735908
2013-04-08,365.8372802734375,1898773,-0.01833590628241777
2013-04-09,362.81573486328125,1325954,-0.00825926053216297
2013-04-10,359.9336853027344,2785331,-0.00794356276095054
2013-04-11,372.9959716796875,2565069,0.03629081386468913
2013-04-12,372.3916320800781,2765801,-0.0016202309019260897
2013-04-15,373.6932067871094,1300962,0.0034951771063194137
2013-04-16,387.9176330566406,2561442,0.03806444969077227
2013-04-17,390.1025085449219,1071016,0.00563231805439024
2013-04-18,418.6907653808594,5512207,0.07328396052250818
2013-04-22,433.6124572753906,4233365,0.0356389324253612
2013-04-23,428.73150634765625,2117529,-0.011256482247774646
2013-04-25,434.9605712890625,3011657,0.014529058044908671
2013-04-26,425.9424133300781,2336599,-0.020733276885897656
