Date,Close,Volume,Return
2013-01-01,269.94970703125,1161263,
2013-01-02,270.7966003417969,1252267,0.003137226262849069
2013-01-03,266.044921875,1771023,-0.017547038850559193
2013-01-04,268.58544921875,1275766,0.00954924200712104
2013-01-07,265.0099182128906,1700272,-0.013312452391816887
2013-01-08,256.07110595703125,3558603,-0.0337301045792503
2013-01-09,252.1663818359375,2966687,-0.01524859318469518
2013-01-10,251.17835998535156,2335535,-0.003918134698973286
2013-01-11,253.95407104492188,2649331,0.011050757158109326
2013-01-14,258.3293762207031,1613107,0.017228726272347394
2013-01-15,259.9759521484375,1506904,0.006373939935997219
2013-01-16,260.2112121582031,1481166,0.0009049298899435065
2013-01-17,260.35235595703125,1033780,0.0005424201273167562
2013-01-18,258.0470886230469,946065,-0.008854413187506682
2013-01-21,260.0230407714844,1307695,0.007657331686946378
2013-01-22,253.24839782714844,1552415,-0.026054010153237495
2013-01-23,250.28451538085938,1115399,-0.011703459811469474
2013-01-24,251.79002380371094,1826007,0.0060151880373446875
2013-01-25,258.23529052734375,1240471,0.025597784321500283
2013-01-28,254.51869201660156,938601,-0.014392295116413045
2013-01-29,253.7659149169922,1047787,-0.002957649568465781
2013-01-30,259.3174133300781,3494736,0.021876454191658734
2013-01-31,262.8457946777344,3139734,0.01360641887617886
2013-02-01,269.6204528808594,1947109,0.02577426894514767
2013-02-04,268.5383605957031,1617439,-0.004013390948625184
2013-02-05,260.96392822265625,1566450,-0.028206146623686812
2013-02-06,260.869873046875,1186992,-0.00036041446962353785
2013-02-07,247.46177673339844,3994552,-0.05139764188510687
2013-02-08,248.920166015625,3954608,0.005893392108785145
2013-02-11,251.9781951904297,753486,0.01228518052094163
2013-02-12,255.0832061767578,1439194,0.012322538400521221
2013-02-13,254.56570434570312,1462167,-0.0020287569644866776
2013-02-14,252.87203979492188,1217612,-0.006653152886931024
2013-02-15,251.9781951904297,791962,-0.0035347704128028123
2013-02-18,248.26153564453125,1259497,-0.014749925258769392
2013-02-19,248.26153564453125,788247,0.0
2013-02-20,243.83921813964844,2485347,-0.01781314005571455
2013-02-21,242.4748992919922,2860464,-0.005595157571719689
2013-02-22,241.25167846679688,2787859,-0.005044731758903742
2013-02-25,237.8173370361328,2866727,-0.014235513106022668
2013-02-26,235.27687072753906,1190290,-0.010682426858592553
2013-02-27,240.0285186767578,1697059,0.020195984137860057
2013-02-28,245.48577880859375,5531733,0.022735882227332915
2013-03-01,258.0941162109375,2496026,0.05136076502490394
2013-03-04,249.578857421875,2138080,-0.032992843517994364
2013-03-05,244.78013610839844,2996297,-0.019227274950478046
2013-03-06,241.91033935546875,2554592,-0.011723977274278652
2013-03-07,238.94644165039062,2022967,-0.01225205054473888
2013-03-08,242.80419921875,1836391,0.01614486301496698
2013-03-11,236.07664489746094,1551541,-0.027707734639416115
2013-03-12,227.89060974121094,3346805,-0.034675328259623384
2013-03-13,222.24513244628906,3785852,-0.024772750844507363
