Date,Close,Volume,Return
2020-08-21,111.24356842041016,807716,
2020-08-24,116.76842498779297,56263,0.04966450326821015
2020-08-25,122.59191131591797,45326,0.049872097947144534
2020-08-26,123.43805694580078,3240477,0.006902132618703538
2020-08-27,117.26615905761719,771809,-0.049999959825141715
2020-08-28,111.44266510009766,820058,-0.049660481799000844
2020-08-31,105.91781616210938,519749,-0.04957570723049265
2020-09-01,105.22099304199219,803353,-0.006578903770548705
2020-09-02,105.96759033203125,181669,0.00709551647874207
2020-09-03,111.24356842041016,849547,0.04978860113594674
2020-09-04,114.72771453857422,1513362,0.031319978023329975
2020-09-07,112.8363265991211,740174,-0.01648588527244821
2020-09-08,109.50150299072266,845613,-0.029554521215904406
2020-09-09,110.9449234008789,798343,0.013181740622122184
2020-09-10,111.19380187988281,731283,0.0022432615335146178
2020-09-11,130.953857421875,11027186,0.17770824639432692
2020-09-14,120.35211181640625,3503925,-0.0809578718350743
2020-09-15,118.21184539794922,1262738,-0.01778337235761973
2020-09-16,120.15300750732422,749709,0.016421045647669663
2020-09-17,117.16661071777344,616594,-0.02485494829889079
2020-09-18,116.32046508789062,1105400,-0.00722173001932247
2020-09-21,110.39743041992188,1758904,-0.05091997064741238
2020-09-22,108.55581665039062,574753,-0.016681672413264015
2020-09-23,110.44719696044922,1230845,0.01742311345830383
2020-09-24,108.25717163085938,388647,-0.019828709010823342
2020-09-25,109.40196228027344,473902,0.010574732668221065
2020-09-28,116.0218276977539,5291935,0.060509567465721004
2020-09-29,112.93586730957031,1304995,-0.026598101834964805
2020-09-30,114.82725524902344,1287726,0.01674745131472366
2020-10-01,115.37477111816406,1655056,0.004768169960635449
2020-10-05,113.48338317871094,319039,-0.016393427446248277
2020-10-06,115.02635955810547,440115,0.013596496122826096
2020-10-07,113.78202819824219,407920,-0.01081779310971509
2020-10-08,112.13949584960938,550754,-0.014435780189917424
2020-10-09,110.19833374023438,545283,-0.017310244661508878
